customer_id,tenure_months,monthly_charge,total_charge,data_usage_gb,call_minutes,support_calls,contract_type
1,15,23.25,325.21,23.1,469,10,Two year
2,70,31.3,2139.68,3.95,945,3,Two year
3,4,92.96,395.94,70.43,1768,3,One year
4,36,125.23,3840.83,80.78,1781,5,One year
5,20,47.99,1035.67,11.12,1606,1,One year
6,45,98.48,4839.92,73.24,2246,1,One year
7,11,91.77,1109.23,62.23,1531,9,Month-to-month
8,9,25.96,214.57,29.65,376,3,Month-to-month
9,49,56.14,2862.83,37.12,1566,5,Month-to-month
10,35,111.24,4107.79,8.07,750,8,Two year
11,32,41.24,1271.96,98.96,2331,3,Two year
12,42,129.57,5892.53,23.68,181,5,One year
13,35,28.6,1125.06,57.15,1338,3,Two year
14,64,71.43,5140.05,46.43,1134,2,Month-to-month
15,72,90.07,6965.61,43.41,2440,6,One year
16,29,149.65,3868.97,49.86,242,1,Month-to-month
17,21,122.97,2522.07,7.29,1613,9,One year
18,68,52.68,3639.44,94.3,519,10,Two year
19,35,119.92,3995.96,30.06,697,7,Month-to-month
20,34,146.35,5366.95,51.26,485,10,One year
21,65,99.17,5774.71,76.49,2259,8,Month-to-month
22,42,83.52,3099.39,36.94,1309,3,Month-to-month
23,31,134.14,4715.91,9.48,2040,1,Two year
24,17,36.69,619.1,55.43,1135,8,Two year
25,55,145.37,9024.14,75.77,873,4,One year
26,48,76.95,3713.08,12.98,970,1,One year
27,3,96.48,266.01,22.8,340,10,Month-to-month
28,30,28.76,741.51,33.71,2155,3,One year
29,63,47.85,2682.03,93.62,2388,9,One year
30,32,122.0,4264.14,19.85,447,10,One year
31,46,75.07,3419.06,73.18,453,0,One year
32,44,124.08,4819.56,19.97,2246,7,Month-to-month
33,55,43.85,2384.71,87.57,358,7,Two year
34,13,26.58,397.3,83.77,432,3,Month-to-month
35,53,83.13,4027.53,40.7,290,2,One year
36,1,148.09,137.66,78.62,1913,4,One year
37,72,106.04,7604.35,19.8,941,0,Two year
38,70,27.92,1845.11,5.96,2002,8,Two year
39,21,27.39,576.54,85.28,330,9,Month-to-month
40,31,72.49,2544.9,57.4,2421,9,Month-to-month
41,11,74.5,840.07,52.76,1118,3,Two year
42,41,51.03,2026.82,67.5,1278,7,One year
43,10,21.21,219.81,56.74,459,1,Two year
44,28,85.77,2136.76,35.55,331,3,One year
45,37,40.51,1648.94,70.65,2216,0,Two year
46,71,58.92,4388.37,93.95,600,4,Month-to-month
47,14,116.51,1462.54,28.89,912,5,Month-to-month
